CCAA,Sexo,Tipo_Centro,Total,Usuario_Experto_Pct,Usuario_Avanzado_Pct,Usuario_Basico_Pct,No_Usuario_Pct,No_Consta_Pct
Andalucía,Total,Total,0.0,15.293677282510371,57.127483701924575,27.181134782744316,0.25577840855921896,0.14348544870395208
Andalucía,Total,Centro Público,0.0,14.712903085803568,56.13688641986025,28.794323163057157,0.35588733127902433,0.0
Andalucía,Total,Centro Privado,0.0,16.772011532490573,59.658460856065645,23.059436682191173,0.0,0.5100909292526059
Andalucía,Hombres,Total,0.0,19.938277684756557,54.70632653731245,24.514921698020288,0.5384287074427919,0.3020453724679077
Andalucía,Hombres,Centro Público,0.0,20.864834962198046,52.710676747187904,25.668449197860962,0.7560390927530887,0.0
Andalucía,Hombres,Centro Privado,0.0,17.65712330329645,59.644119995437435,21.6607733546253,0.0,1.0493897570434585
Andalucía,Mujeres,Total,0.0,11.087673430583202,59.31845865890252,29.593867910514277,0.0,0.0
Andalucía,Mujeres,Centro Público,0.0,9.245592455924559,59.18409184091841,31.57441574415744,0.0,0.0
Andalucía,Mujeres,Centro Privado,0.0,15.945625202287195,59.67202502966879,24.38234976804402,0.0,0.0
Aragón,Total,Total,0.0,14.822111484528914,63.58790126318229,20.30362730327964,0.0,1.2747711206397034
Aragón,Total,Centro Público,0.0,13.347256502752991,0.07594456047085628,17.486235048414656,0.0,0.550598063413708
Aragón,Total,Centro Privado,0.0,17.162403331350387,0.0594883997620464,24.71743010113028,0.0,2.409280190362879
Aragón,Hombres,Total,0.0,0.023245002324500233,0.0697350069735007,15.364946536494653,0.0,1.1622501162250116
Aragón,Hombres,Centro Público,0.0,22.213740458015266,0.07633587786259542,13.320610687022901,0.0,1.1068702290076335
Aragón,Hombres,Centro Privado,0.0,27.170035671819264,53.091557669441144,18.489892984542212,0.0,1.2485136741973841
Aragón,Mujeres,Total,0.0,5.546568061012248,0.06933210076265311,0.023110700254217704,0.0,1.386642015253062
Aragón,Mujeres,Centro Público,0.0,4.533434076312807,0.07555723460521345,21.609369097091047,0.0,0.0
Aragón,Mujeres,Centro Privado,0.0,7.142857142857143,58.333333333333336,30.952380952380953,0.0,3.5714285714285716
"Asturias, Principado de",Total,Total,0.0,16.672005124919924,61.370916079436256,21.60474055092889,0.3523382447149263,0.0
"Asturias, Principado de",Total,Centro Público,0.0,18.78159757330637,0.05055611729019211,22.295247724974722,0.5561172901921132,0.0
"Asturias, Principado de",Total,Centro Privado,0.0,13.024475524475525,0.08741258741258741,20.41083916083916,0.0,0.0
"Asturias, Principado de",Hombres,Total,0.0,25.61576354679803,0.06568144499178982,15.697865353037766,0.722495894909688,0.0
"Asturias, Principado de",Hombres,Centro Público,0.0,27.661795407098122,0.05219206680584551,13.830897703549061,1.1482254697286012,0.0
"Asturias, Principado de",Hombres,Centro Privado,0.0,22.143489813994684,58.99025686448184,18.866253321523473,0.0,0.0
"Asturias, Principado de",Mujeres,Total,0.0,8.158799624882775,0.06251953735542357,27.227258518286966,0.0,0.0
"Asturias, Principado de",Mujeres,Centro Público,0.0,10.441176470588236,0.049019607843137254,30.245098039215687,0.0,0.0
"Asturias, Principado de",Mujeres,Centro Privado,0.0,4.141501294219155,73.94305435720449,21.915444348576358,0.0,0.0
"Balears, Illes",Total,Total,0.0,14.783335655566393,62.83962658492406,21.833635223631045,0.0,0.5434025358785007
"Balears, Illes",Total,Centro Público,0.0,15.160567587752054,0.04978839930296241,24.819517052526763,0.0,0.0
"Balears, Illes",Total,Centro Privado,0.0,14.30379746835443,0.06329113924050633,18.037974683544302,0.0,1.2341772151898733
"Balears, Illes",Hombres,Total,0.0,23.072429906542055,0.05841121495327103,18.16588785046729,0.0,1.139018691588785
"Balears, Illes",Hombres,Centro Público,0.0,24.086818422445738,0.05293806246691371,21.492853361566965,0.0,0.0
"Balears, Illes",Hombres,Centro Privado,0.0,21.824104234527688,61.56351791530945,14.071661237785015,0.0,2.54071661237785
"Balears, Illes",Mujeres,Total,0.0,7.247535305089262,0.07993605115907274,25.153210764721557,0.0,0.0
"Balears, Illes",Mujeres,Centro Público,0.0,7.2368421052631575,0.046992481203007516,27.772556390977442,0.0,0.0
"Balears, Illes",Mujeres,Centro Privado,0.0,7.2615384615384615,0.06153846153846154,21.723076923076924,0.0,0.0
Canarias,Total,Total,0.0,13.354479544277577,59.703521491455206,26.935525634386327,0.0,0.0
Canarias,Total,Centro Público,0.0,15.351719322743934,56.86856344911852,27.779717228137546,0.0,0.0
Canarias,Total,Centro Privado,0.0,7.619047619047619,0.07518796992481203,24.536340852130326,0.0,0.0
Canarias,Hombres,Total,0.0,24.828605995429495,53.3270600887216,21.844333915848903,0.0,0.0
Canarias,Hombres,Centro Público,0.0,29.252319446971075,47.15299254138621,23.576496270693106,0.0,0.0
Canarias,Hombres,Centro Privado,0.0,12.306900102986612,0.05149330587023687,16.94129763130793,0.0,0.0
Canarias,Mujeres,Total,0.0,2.696965913347484,0.06242976651267324,0.037457859907603946,0.0,0.0
Canarias,Mujeres,Centro Público,0.0,2.533132024828049,0.06710283509478275,0.033551417547391375,0.0,0.0
Canarias,Mujeres,Centro Privado,0.0,3.173828125,0.048828125,31.73828125,0.0,0.0
Cantabria,Total,Total,0.0,15.744570837642192,0.05170630816959669,21.328852119958636,0.25853154084798347,0.25853154084798347
Cantabria,Total,Centro Público,0.0,16.81893687707641,0.04152823920265781,21.428571428571427,0.0,0.0
Cantabria,Total,Centro Privado,0.0,13.972602739726028,63.49315068493151,21.164383561643834,0.684931506849315,0.684931506849315
